ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
1,362.42,7,1,7,9,-1.445,170.07,0.26949926,-0.442002355,5.1614,-0.35162,-0.01652,0.3351,0.04,10.39794001,1
2,312.46,8,1,3,6,1.046,90.65,0.144850735,-0.30093135,5.5531,-0.34535,-0.00556,0.33979,0.1,10,1
3,381.4,7,1,4,11,0.4,121.96,0.165663213,-0.548213556,3.5532,-0.36104,-0.02546,0.33558,0.3,9.522878745,1
4,332.36,7,1,9,11,-3.444,198.22,0.189092929,-0.436682538,2.7805,-0.35391,-0.02085,0.33306,3.25,8.488116639,1
5,320.37,6,1,5,7,-1.248,131.69,0.272276,-0.490950497,3.3044,-0.36803,-0.02073,0.3473,0.52,9.283996656,1
6,332.36,6,1,9,11,-3.669,200.72,0.187232929,-0.428703819,7.4755,-0.35186,-0.00851,0.34335,0.6,9.22184875,1
7,403.53,9,2,4,8,1.011,121.96,0.155224789,-0.276992115,2.3571,-0.34484,-0.01214,0.3327,0.7,9.15490196,1
8,341.42,7,1,6,10,-1.706,157.84,0.175550217,-0.236391933,2.2438,-0.35412,-0.01608,0.33804,1,9,1
9,284.4,6,1,4,6,0.446,101.65,0.157881116,-0.297483403,3.3416,-0.36553,-0.01334,0.35219,1.3,8.886056648,1
10,390.48,9,1,6,9,-0.688,159.07,0.245202821,-0.428995136,9.216,-0.35578,-0.01273,0.34305,1.1,8.958607315,1
11,328.47,8,1,7,8,0.036,148.53,0.1707163,-0.301870334,4.0095,-0.34917,0.02168,0.37085,1,9,1
12,298.39,6,1,6,8,-0.652,140.03,0.170595381,-0.227842514,4.6226,-0.35385,-0.01519,0.33866,1.8,8.744727495,1
13,389.5,8,2,4,8,0.345,121.96,0.15821787,-0.266776818,2.2688,-0.34512,-0.01226,0.33286,2,8.698970004,1
14,369.48,9,1,6,10,-0.659,157.84,0.168764327,-0.256632183,5.1811,-0.35458,-0.01388,0.3407,1,9,1
15,348.43,8,1,4,7,-0.491,120.69,0.245820275,-0.481456077,7.758,-0.36811,-0.00645,0.36166,2.2,8.657577319,1
16,327.43,7,1,4,8,-0.688,121.96,0.161487383,-0.318361528,2.0372,-0.35836,-0.01275,0.34561,140,6.853871964,1
17,313.4,6,1,4,8,-1.211,121.96,0.165054682,-0.309486525,1.4073,-0.35697,-0.0139,0.34307,3,8.522878745,1
18,299.37,5,1,4,8,-1.735,121.96,0.169502829,-0.297035031,1.9781,-0.35805,-0.01289,0.34516,3,8.522878745,1
19,443.47,8,2,4,11,1.433,121.96,0.16183163,-0.496640672,3.5618,-0.34818,-0.02487,0.32331,3,8.522878745,1
20,465.6,9,3,4,8,1.863,121.96,0.150640031,-0.226225492,2.2578,-0.32564,-0.01216,0.31348,2,8.698970004,1
21,341.42,7,1,6,10,-1.531,157.84,0.17719187,-0.24246304,4.068,-0.36196,-0.01687,0.34509,4,8.397940009,1
22,341.46,8,1,4,8,-0.232,121.96,0.1582946,-0.329679532,1.9155,-0.35715,-0.0128,0.34435,4,8.397940009,1
23,312.42,7,1,5,8,-0.22,126.04,0.1616212,-0.222207356,4.4227,-0.34981,-0.01481,0.335,4.6,8.337242168,1
