DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB00121,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,244.311,5,2,3,3,0.17,78.43
DB00162,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,286.452,5,1,1,1,6.38,20.23
DB00166,OC(=O)CCCC[C@@H]1CCSS1,206.326,5,1,2,1,2.75,37.3
DB00170,CC1=CC(=O)C2=CC=CC=C2C1=O,172.18,0,2,2,0,1.91,34.14
DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,424.528,11,2,6,4,2.23,124.29
DB00176,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,318.34,10,1,4,1,2.89,56.84
DB00178,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,416.511,10,3,5,2,0.92,95.94
DB00179,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,302.365,5,2,4,4,3.44,80.92
DB00180,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,434.498,2,5,6,2,2.2,93.06
DB00184,CN1CCC[C@H]1C1=CN=CC=C1,162.232,1,2,2,0,0.87,16.13
DB00185,CC1O[C@@]2(CS1)CN1CCC2CC1,199.313,0,3,2,0,1.46,12.47
DB00186,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,321.158,1,3,3,2,2.98,61.69
DB00187,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,295.374,10,1,4,2,2.02,67.79
DB00188,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,384.237,9,2,6,4,0.89,124.44
DB00192,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,308.417,6,3,2,2,3.24,55.12
DB00193,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,263.375,4,2,3,1,2.71,32.7
DB00195,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,307.428,11,2,4,2,3,50.72
DB00196,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,306.271,5,3,5,1,0.58,81.65
