DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB00121,244.311,5,2,3,3,0.17,78.43,
DB00162,286.452,5,1,1,1,6.38,20.23,
DB00166,206.326,5,1,2,1,2.75,37.3,
DB00170,172.18,0,2,2,0,1.91,34.14,
DB00175,424.528,11,2,6,4,2.23,124.29,
DB00176,318.34,10,1,4,1,2.89,56.84,
DB00178,416.511,10,3,5,2,0.92,95.94,
DB00179,302.365,5,2,4,4,3.44,80.92,
DB00180,434.498,2,5,6,2,2.2,93.06,
DB00184,162.232,1,2,2,0,0.87,16.13,
DB00185,199.313,0,3,2,0,1.46,12.47,
DB00186,321.158,1,3,3,2,2.98,61.69,
DB00187,295.374,10,1,4,2,2.02,67.79,
DB00188,384.237,9,2,6,4,0.89,124.44,
DB00192,308.417,6,3,2,2,3.24,55.12,
DB00193,263.375,4,2,3,1,2.71,32.7,
DB00195,307.428,11,2,4,2,3,50.72,
DB00196,306.271,5,3,5,1,0.58,81.65,
DB00197,441.54,5,4,5,2,4.16,84.86,
DB00198,312.404,8,1,4,2,1.3,90.65,
DB00204,441.565,9,2,6,2,2.17,104.81,
DB00205,248.711,2,2,4,2,2.62,77.82,
DB00208,263.786,2,3,1,0,4.25,3.24,
DB00213,383.37,7,3,6,1,2.11,86.33,
DB00214,348.42,4,2,5,3,1.76,100.19,
DB00215,324.392,5,3,3,0,3.58,36.26,
DB00216,382.519,6,4,3,1,3.84,53.17,
DB00217,177.246,2,1,3,2,1.41,36.42,
DB00219,348.5,9,2,2,1,0.2,46.53,
DB00221,239.311,5,1,4,4,0.63,72.72,
DB00223,410.452,2,4,5,3,1.91,94.83,
DB00226,213.277,2,2,5,2,0.03,82.86,
DB00227,404.54,7,3,3,1,4.11,72.83,
DB00231,300.74,1,3,3,1,2.16,52.9,
DB00232,360.237,2,2,5,2,0.93,109.57,
DB00234,313.397,6,3,4,1,3.06,39.72,
DB00235,211.219,1,2,3,1,1.04,65.78,
DB00236,356.054,4,1,2,0,1.09,40.62,
