SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
CCC(CC)OC1C=C(CC(N=C(N)N)C1NC(C)=O)P(O)(O)=O,362.42,7,1,9,7,-1.445,170.07,Active
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,312.46,8,1,6,3,1.046,90.65,Active
CCCN(CCC)C(=O)C1OC(=CC(N)C1NC(=O)C(F)(F)F)C(O)=O,381.4,7,1,11,4,0.4,121.96,Active
CC(=O)NC1C(NC(N)=N)C=C(OC1C(O)C(O)CO)C(O)=O,332.36,7,1,11,9,-3.444,198.22,Active
CCC(CC)OC1C=C(CC(N)C1NC(C)=O)P(O)(O)=O,320.37,6,1,7,5,-1.248,131.69,Active
CC(=O)NC1C(C=C(OC1C(O)C(O)CO)C(O)=O)N=C(N)N,332.36,6,1,11,9,-3.669,200.72,Active
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(=O)CC)C(O)=O,403.53,9,2,8,4,1.011,121.96,Active
CCN(CC)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,341.42,7,1,10,6,-1.706,157.84,Active
CCC(CC)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,284.4,6,1,6,4,0.446,101.65,Active
CCOP(O)(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(C1)N=C(N)N,390.48,9,1,9,6,-0.688,159.07,Active
CCC(CC)C(NC(C)=O)C1C(O)C(CC1NC(N)=N)C(O)=O,328.47,8,1,8,7,0.036,148.53,Active
CCCOC1C=C(CC(N=C(N)N)C1NC(C)=O)C(O)=O,298.39,6,1,8,6,-0.652,140.03,Active
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,389.5,8,2,8,4,0.345,121.96,Active
CCCN(CCC)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,369.48,9,1,10,6,-0.659,157.84,Active
CCOP(O)(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,348.43,8,1,7,4,-0.491,120.69,Active
CCCN(CCC)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,327.43,7,1,8,4,-0.688,121.96,Active
CCCN(CC)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,313.4,6,1,8,4,-1.211,121.96,Active
CCN(CC)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,299.37,5,1,8,4,-1.735,121.96,Active
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(=O)C(F)(F)F)C(O)=O,443.47,8,2,11,4,1.433,121.96,Active
CCCN(CCC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,465.6,9,3,8,4,1.863,121.96,Active
CCCN(C)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,341.42,7,1,10,6,-1.531,157.84,Active
CCCCN(CCC)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,341.46,8,1,8,4,-0.232,121.96,Active
CCCOC1C=C(CC(N=C(N)NC)C1NC(C)=O)C(O)=O,312.42,7,1,8,5,-0.22,126.04,Active
CCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,375.47,7,2,8,4,-0.179,121.96,Active
CCCN(CCC)C(=O)C1OC(=CC(N)C1NC(=O)CC)C(O)=O,341.46,8,1,8,4,-0.021,121.96,Active
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N=C(N)N)C1NC(C)=O)C(O)=O,431.55,9,2,10,6,0.148,160.34,Active
