MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT,SMILES
362.42,7,1,9,7,-1.445,170.07,1,0.9985857009887695
312.46,8,1,6,3,1.046,90.65,1,0.9958257675170898
381.4,7,1,11,4,0.4,121.96,1,0.5354646444320679
332.36,7,1,11,9,-3.444,198.22,1,0.021967725828289986
320.37,6,1,7,5,-1.248,131.69,1,0.9966926574707031
332.36,6,1,11,9,-3.669,200.72,1,0.9950469732284546
403.53,9,2,8,4,1.011,121.96,1,0.9964311122894287
341.42,7,1,10,6,-1.706,157.84,1,0.9988956451416016
284.4,6,1,6,4,0.446,101.65,1,0.9985132813453674
390.48,9,1,9,6,-0.688,159.07,1,0.9972932934761047
328.47,8,1,8,7,0.036,148.53,1,0.9980363249778748
298.39,6,1,8,6,-0.652,140.03,1,0.9983409643173218
389.5,8,2,8,4,0.345,121.96,1,0.998636782169342
369.48,9,1,10,6,-0.659,157.84,1,0.9974825978279114
348.43,8,1,7,4,-0.491,120.69,1,0.996009349822998
327.43,7,1,8,4,-0.688,121.96,1,0.9987284541130066
313.4,6,1,8,4,-1.211,121.96,1,0.9988821148872375
299.37,5,1,8,4,-1.735,121.96,1,0.9987450838088989
443.47,8,2,11,4,1.433,121.96,1,0.9946582913398743
465.6,9,3,8,4,1.863,121.96,1,0.996927797794342
341.42,7,1,10,6,-1.531,157.84,1,0.9982197880744934
341.46,8,1,8,4,-0.232,121.96,1,0.9980365633964539
312.42,7,1,8,5,-0.22,126.04,1,0.9979320764541626
375.47,7,2,8,4,-0.179,121.96,1,0.9989444613456726
341.46,8,1,8,4,-0.021,121.96,1,0.07960012555122375
431.55,9,2,10,6,0.148,160.34,1,0.9980941414833069
390.48,8,2,8,3,0.634,116.17,1,0.9974122643470764
374.48,8,2,7,2,1.466,95.94,1,0.9983901977539062
403.53,8,2,8,4,0.664,121.96,1,0.9973466396331787
397.54,10,1,10,6,0.028,160.34,1,0.9979016780853271
286.42,6,1,6,5,0.007,112.65,1,0.7178798317909241
282.38,4,2,6,4,0.074,101.65,1,0.9963294863700867
411.61,13,1,8,4,2.05,121.96,1,0.9987336993217468
313.36,5,1,10,6,-2.404,157.84,1,0.9985785484313965
300.4,7,1,7,3,0.319,104.73,1,0.9970640540122986
415.54,9,3,8,4,1.102,121.96,1,0.9962522387504578
296.41,4,2,6,4,0.53,101.65,1,0.9960175156593323
665.86,14,5,10,2,5.614,133.67,1,0.9968945980072021
283.42,6,1,6,5,0.18,104.45,1,0.9987834095954895
298.44,7,1,7,6,0.362,130.8,1,0.9963292479515076
256.34,5,1,6,4,-0.455,101.65,1,0.9989323019981384
283.37,6,1,7,4,-0.458,114.01,1,0.990807831287384
299.37,5,1,8,4,-1.56,121.96,1,0.9982859492301941
310.31,5,1,9,4,-0.608,101.65,1,0.9934341907501221
341.46,8,1,8,3,-0.256,107.97,1,0.998650848865509
368.41,5,1,11,4,-0.2,115.97,1,0.07376405596733093
290.31,5,1,9,7,-3.473,162.34,1,0.9888741970062256
361.44,6,2,8,4,-0.528,121.96,1,0.9988157749176025
365.49,8,2,8,4,0.361,132.36,1,0.5902544856071472
301.38,7,1,7,2,0.585,101.93,1,0.9962913990020752
355.49,9,1,8,3,0.093,107.97,1,0.998689591884613
355.49,9,1,8,4,0.225,121.96,1,0.9326924681663513
327.39,7,1,10,7,-1.737,166.63,1,0.9973973035812378
290.35,4,2,6,4,0.435,101.65,1,0.9962755441665649
309.41,6,2,6,3,0.564,104.31,1,0.9979788661003113
347.41,6,2,8,5,-0.734,130.75,0,0.0033161179162561893
665.86,14,5,10,2,5.614,133.67,0,0.003296220675110817
354.43,7,2,5,3,3.959,86.99,0,0.6032509803771973
271.31,4,1,8,5,-2.29,130.75,0,0.0024423340801149607
299.43,4,1,8,5,-0.329,125.25,0,0.12177277356386185
344.36,4,3,9,4,-0.531,140.57,0,0.05905461683869362
328.47,6,1,8,4,-0.622,115.97,0,0.0022797707933932543
355.49,8,1,8,4,0.442,121.96,0,0.0031247506849467754
285.34,5,1,8,5,-1.766,130.75,0,0.004607216455042362
301.39,6,1,8,4,-0.833,124.17,0,0.003111095866188407
292.33,5,2,8,6,-0.089,139.74,0,0.0033622602932155132
259.35,4,1,7,4,-1.398,107.1,0,0.0025857489090412855
228.33,4,1,5,3,0.255,83.63,0,0.0019141155062243342
408.53,9,2,5,4,5.535,97.99,0,0.0012361889239400625
282.29,3,2,9,4,-2.196,140.57,0,0.003330589970573783
485.61,11,2,13,8,-2.155,209.74,0,0.0046536787413060665
422.56,10,2,5,3,5.786,86.99,0,0.0018501590238884091
292.4,6,1,7,4,-0.47,127.1,0,0.006006439216434956
229.32,3,1,6,3,-0.887,86.87,0,0.001390574499964714
282.41,7,2,2,2,3.635,40.46,0,0.0024813972413539886
412.52,10,2,6,3,4.662,96.22,0,0.003405177965760231
213.27,2,1,6,6,-2.026,118.44,0,0.004740160424262285
257.38,5,1,6,3,0.16,86.87,0,0.0021638749167323112
487.58,11,2,14,8,-3.385,218.97,0,0.001996444771066308
288.32,3,2,5,3,2.394,94.83,0,0.0014966519083827734
309.31,6,1,10,7,-3.389,176.78,0,0.003414720529690385
358.42,6,2,6,2,3.903,100.9,0,0.0014048242010176182
388.45,7,2,7,3,2.932,121.13,0,0.0015525631606578827
397.46,4,4,7,4,2.419,114.37,0,0.0012386852176859975
330.36,5,2,6,2,2.773,100.9,0,0.001601316500455141
338.43,6,2,4,2,5.007,66.76,0,0.002782202558591962
417.56,10,2,8,4,1.468,121.96,0,0.005767452530562878
413.46,3,4,8,4,2.583,123.6,0,0.001628379919566214
353.4,3,4,6,3,2.869,94.14,0,0.0011166773037984967
383.43,3,4,7,4,2.358,114.37,0,0.001240608631633222
272.4,5,1,7,5,-1.625,112.89,0,0.0035421180073171854
457.56,5,5,6,3,5.065,94.14,0,0.0014851741725578904
370.43,6,2,6,2,4.32,100.9,0,0.0016713642980903387
458.55,5,5,7,3,3.949,97.38,0,0.0016845294740051031
383.43,4,4,7,4,2.358,114.37,0,0.20123957097530365
230.3,3,1,6,3,-0.212,92.86,0,0.0028518913313746452
369.4,3,4,7,3,2.096,103.37,0,0.001273412024602294
381.46,3,4,6,3,3.644,94.14,0,0.0015658671036362648
398.45,3,4,8,4,2.098,117.61,0,0.0014377759071066976
324.38,6,2,9,4,-0.617,140.57,0,0.006462945137172937
383.43,3,4,7,4,3.058,114.37,0,0.0015476783737540245
272.32,3,2,4,2,3.496,74.6,0,0.0049988990649580956
399.43,3,4,8,5,2.091,134.6,0,0.0013670939952135086
401.4,3,4,9,5,1.416,143.83,0,0.0033176878932863474
413.46,4,4,8,5,2.151,134.6,0,0.0011153218802064657
383.43,3,4,7,4,2.358,114.37,0,0.004108134191483259
376.41,10,1,11,7,-3.015,185.65,0,0.0012597631430253386
390.44,11,1,11,7,-2.559,185.65,0,0.0018607545644044876
222.41,7,0,1,1,4.761,20.23,0,0.0037229852750897408
385.4,3,4,8,4,1.828,123.6,0,0.0018434540834277868
381.46,4,4,6,3,2.686,94.14,0,0.0014577541733160615
406.56,9,2,4,2,6.834,66.76,0,0.002782202558591962
623.77,12,5,10,3,4.536,144.53,0,0.003281660145148635
383.43,3,4,7,4,1.841,114.37,0,0.004247360862791538
326.45,6,1,8,4,-0.591,115.97,0,0.004187975078821182
358.39,5,3,9,4,-0.497,140.57,0,0.004975409712642431
381.46,3,4,6,3,3.703,94.14,0,0.003401755588129163
358.47,8,2,5,2,5.174,79.9,0,0.0024108777288347483
356.45,7,2,5,2,5.345,79.9,0,0.0019835266284644604
344.44,7,2,5,2,4.928,79.9,0,0.0011744961375370622
367.43,3,4,6,3,3.325,94.14,0,0.009693711996078491
353.4,3,4,6,3,2.869,94.14,0,0.0018391992198303342
242.32,5,1,7,6,-1.226,128.3,0,0.0040499004535377026
350.5,6,1,9,4,-1.303,141.42,0,0.0026797300670295954
396.48,5,4,7,3,2.093,97.38,0,0.0019813321996480227
382.45,3,4,7,3,2.365,97.38,0,0.0025602716486901045
397.46,3,4,7,4,3.435,114.37,0,0.0026409896090626717
381.46,3,4,6,3,3.577,94.14,0,0.0014566760510206223
383.43,3,4,7,4,1.841,114.37,0,0.00226114084944129
337.4,3,4,5,2,3.136,73.91,0,0.00152585469186306
257.28,3,1,8,5,-2.639,130.75,0,0.0025048472452908754
347.42,9,1,10,8,-3.807,174.37,0,0.002392394468188286
361.45,10,1,10,8,-3.227,174.37,0,0.0026428301353007555
358.4,7,2,11,7,-2.987,172.74,0,0.008620982989668846
389.47,11,1,12,10,-3.778,210.25,0,0.0014740665210410953
403.5,12,1,12,10,-3.198,210.25,0,0.00350386300124228
389.47,10,1,12,10,-3.674,215.45,0,0.027048012241721153
403.5,11,1,12,10,-3.094,215.45,0,0.00350402295589447
290.4,6,2,5,2,2.599,69.64,0,0.024317629635334015
262.3,4,2,7,5,0.422,119.51,0,0.0013247599126771092
367.43,3,4,6,3,2.626,94.14,0,0.001218741643242538
